DEPREG_LIMPIO,total_divorcios,edad_hom_media_div,edad_muj_media_div,edad_hom_std_div,edad_muj_std_div,prop_mes_1_div,prop_mes_2_div,prop_mes_3_div,prop_mes_4_div,prop_mes_5_div,prop_mes_6_div,prop_mes_7_div,prop_mes_8_div,prop_mes_9_div,prop_mes_10_div,prop_mes_11_div,prop_mes_12_div,total_matrimonios,edad_hom_media_mat,edad_muj_media_mat,edad_hom_std_mat,edad_muj_std_mat,prop_mes_1_mat,prop_mes_2_mat,prop_mes_3_mat,prop_mes_4_mat,prop_mes_5_mat,prop_mes_6_mat,prop_mes_7_mat,prop_mes_8_mat,prop_mes_9_mat,prop_mes_10_mat,prop_mes_11_mat,prop_mes_12_mat,tasa_divorcios_por_matrimonio,porcentaje_divorcios_guatemala,porcentaje_matrimonios_guatemala
Alta Verapaz,1401,35.808068459657704,31.893772893772894,9.922395742372776,9.572255027433076,0.07137758743754462,0.11206281227694503,0.11777301927194861,0.07637401855817273,0.08565310492505353,0.07209136331192005,0.08850820842255532,0.09421841541755889,0.0913633119200571,0.08779443254817987,0.0649536045681656,0.03783012134189864,52734,28.142513039355144,24.485290491455018,10.028015491667714,8.763154909487836,0.08595972238024804,0.09373459248302803,0.09107975878939584,0.07156673114119923,0.06551750293928016,0.05760989115181856,0.06532787196116357,0.07128228467402435,0.06786892706792581,0.09747032275192476,0.11064967573102742,0.12193271892896423,0.026567300034133576,0.0,0.0
Baja Verapaz,1009,34.85940594059406,31.326375711574954,10.838736548318419,10.195788978062879,0.0981169474727453,0.09117938553022795,0.08325074331020813,0.07631318136769079,0.08225966303270565,0.06442021803766106,0.10109018830525272,0.07928642220019821,0.07730426164519326,0.10307234886025768,0.08721506442021804,0.05649157581764123,13953,27.596344086021507,24.32358213235821,10.724838138493327,9.41280709785335,0.0857880025800903,0.0844262882534222,0.08958646885974342,0.07998279939797893,0.0736042428151652,0.06844406220884397,0.07410592704077976,0.08449795742851,0.06149215222532789,0.08191786712534939,0.09625170214290833,0.1199025299218806,0.07231419766358489,0.0,0.0
Chimaltenango,1178,34.98606811145511,32.27786259541985,9.82236607793647,9.474852359208423,0.06536502546689305,0.09252971137521222,0.0933786078098472,0.07894736842105263,0.08149405772495756,0.07555178268251274,0.09083191850594227,0.09252971137521222,0.08913412563667232,0.10865874363327674,0.06536502546689305,0.06621392190152801,38338,26.52028596028909,24.25549235505923,8.903786217596352,7.695150952149467,0.08412019406333142,0.0895977880953623,0.0878501747613334,0.08850226928895613,0.07762533256820908,0.06828733893265168,0.07149564400855549,0.07900777296676927,0.06494861495122332,0.08179873754499452,0.10451771088737023,0.10224842193124316,0.030726694141582765,0.0,0.0
Chiquimula,1407,35.214285714285715,31.22776911076443,10.501605340616258,9.221641132228404,0.0845771144278607,0.09594882729211088,0.12011371712864251,0.0824449182658138,0.08599857853589196,0.08884150675195451,0.0867093105899076,0.09594882729211088,0.06823027718550106,0.07960199004975124,0.06396588486140725,0.047619047619047616,16418,29.699061662198392,26.190203484830022,11.177046589138275,9.620566656476704,0.0869167986356438,0.09593129492020952,0.09824582775003045,0.08807406505055428,0.07242051406992325,0.06431964916555001,0.06541600682178098,0.07242051406992325,0.05786332074552321,0.0711414301376538,0.10561578755024972,0.12163479108295773,0.08569862346205384,0.0,0.0
El Progreso,996,34.58165548098434,30.681614349775785,10.008826774239601,9.145366511188792,0.06827309236947791,0.09839357429718876,0.0783132530120482,0.07730923694779117,0.07228915662650602,0.071285140562249,0.06526104417670683,0.11345381526104417,0.09236947791164658,0.11244979919678715,0.08634538152610442,0.0642570281124498,8476,31.374365632007553,27.559188008969667,12.041293212734347,10.404068305280036,0.07987258140632374,0.09414818310523831,0.0886031146767343,0.07031618688060406,0.0736196319018405,0.06677678150070789,0.07692307692307693,0.07645115620575743,0.07904672015101463,0.08034450212364323,0.09874941009910335,0.11514865502595564,0.1175082586125531,0.0,0.0
Escuintla,2598,35.818098720292504,32.107594936708864,10.746722372961768,9.52682310921785,0.08083140877598152,0.08852963818321787,0.10892994611239415,0.08814472671285604,0.07582755966127791,0.08660508083140878,0.0804464973056197,0.1031562740569669,0.07967667436489607,0.09815242494226328,0.06620477290223249,0.0434949961508853,36675,31.301401614310645,27.9265066812108,12.7310685770458,11.409325371490722,0.06628493524199046,0.08098159509202454,0.08313565098841172,0.0747375596455351,0.08188139059304704,0.08204498977505112,0.08790729379686435,0.08954328561690525,0.06718473074301295,0.07577368779822767,0.08433537832310839,0.1261895023858214,0.07083844580777096,0.0,0.0
Guatemala,22339,36.17507318171583,33.29599548787366,9.801123184318442,8.874789033948447,0.07484668069295851,0.0901114642553382,0.10085500693853798,0.0850530462419983,0.08939522807645821,0.0903352880612382,0.09414029276153811,0.08814181476341823,0.07838309682617843,0.099556828864318,0.060924839965978785,0.04825641255203904,156705,30.42747273087012,27.906806650285606,10.886449048561424,9.583246458790388,0.06461185029194984,0.08316901183752912,0.0885102581283303,0.07806387798730098,0.07092945343160716,0.06660285249353881,0.07875945247439456,0.08068664050285568,0.06830669091605246,0.08410708018250854,0.1152292524169618,0.12102357933697074,0.1425544813503079,39.644004330156704,20.83111779907054
Huehuetenango,1724,35.205069124423964,32.075688073394495,10.370834453487934,9.98328135081126,0.08468677494199536,0.09280742459396751,0.08062645011600927,0.08584686774941995,0.0759860788863109,0.08062645011600927,0.08468677494199536,0.07830626450116009,0.0771461716937355,0.11948955916473318,0.0759860788863109,0.06380510440835267,55915,29.37631465979824,26.261961401563255,12.185513194782224,10.786926801503954,0.08001430743092193,0.08176696771885898,0.09056603773584905,0.08811589019046767,0.07947777877134937,0.07103639452740768,0.0752392023607261,0.08629169274792095,0.07321827774300277,0.08409192524367343,0.09709380309398194,0.09308772243584011,0.030832513636770097,0.0,0.0
Izabal,1821,36.38083538083538,32.800477897252094,10.248327558751471,9.142392961016146,0.071389346512905,0.085667215815486,0.10543657331136738,0.07523338824821527,0.08347062053816584,0.0900604063701263,0.09994508511806699,0.1043382756727073,0.09335529928610653,0.0829214717188358,0.060955518945634266,0.047226798462383306,17143,32.437937879495564,28.357247095908004,12.554360173279251,10.86110808673535,0.059616169865251124,0.07344105465787786,0.08714927375605204,0.07670769410254914,0.07764101965816951,0.07104940792160065,0.08073266056116199,0.08341597153357055,0.06807443271306073,0.08154932042232982,0.10354080382663478,0.13708219098174182,0.10622411479904334,0.0,0.0
Jalapa,1394,35.42909090909091,31.6423487544484,11.276515770184412,9.586189570452332,0.09540889526542325,0.08680057388809183,0.07532281205164992,0.06312769010043041,0.0781922525107604,0.07675753228120516,0.10186513629842181,0.09971305595408896,0.08034433285509325,0.10043041606886657,0.0746054519368723,0.06743185078909612,14874,29.842848497074844,26.559701492537314,10.748759290744223,9.027019978805232,0.08437542019631572,0.10864595939222806,0.10629286002420331,0.09257765227914481,0.07946752722872126,0.06165120344224822,0.0646093855049079,0.07382008874546188,0.06017211241091838,0.07630765093451661,0.0927793465106898,0.09930079333064408,0.0937205862578997,0.0,0.0
Jutiapa,2248,35.919382504288166,31.654008438818565,11.075101485904899,10.026491239255865,0.08140569395017794,0.0898576512455516,0.08140569395017794,0.08629893238434164,0.08763345195729537,0.0849644128113879,0.08229537366548043,0.09830960854092527,0.08674377224199288,0.09252669039145907,0.06717081850533808,0.06138790035587188,24292,30.92592439749092,26.866195728508284,11.85890256239851,10.23344312410039,0.08685987156265437,0.0928289148690927,0.09385806026675449,0.08064383336077721,0.07854437674954717,0.06648279268895109,0.0694878972501235,0.07084636917503705,0.06113123662110983,0.08764202206487733,0.09916845051868928,0.11250617487238597,0.0925407541577474,0.0,0.0
Petén,1488,35.08345534407028,30.913597733711047,9.95519604121607,8.874038112833594,0.08400537634408602,0.08064516129032258,0.08198924731182795,0.07862903225806452,0.08938172043010753,0.07190860215053764,0.07594086021505377,0.09206989247311828,0.07526881720430108,0.11088709677419355,0.08064516129032258,0.07862903225806452,23385,30.884287975360397,26.558326560294308,11.940342665996088,10.241285509646865,0.06363053239255934,0.08214667521915758,0.08920248022236477,0.08531109685695959,0.08655120803934147,0.07295274748770579,0.07338037203335472,0.0793243532178747,0.07166987385075903,0.08240324994654694,0.09612999786187727,0.11729741287149882,0.06363053239255934,0.0,0.0
Quetzaltenango,4175,35.452370781717214,32.39481641468682,10.368219426586558,9.76754759821497,0.07233532934131737,0.09389221556886228,0.08934131736526946,0.07353293413173653,0.07760479041916167,0.07520958083832335,0.09005988023952095,0.09461077844311377,0.09149700598802395,0.10586826347305389,0.06826347305389222,0.06778443113772455,46622,28.200158839186056,25.668748256400352,10.9282041021008,9.739938718618973,0.08169962678563768,0.08807000986658658,0.08933550684226331,0.07994080048045987,0.07003131568787267,0.06762901634421518,0.08047702801252628,0.08146368667152847,0.06724293252112737,0.08232165072283472,0.10104671614259363,0.11074170992235426,0.08954999785508987,0.0,0.0
Quiché,1471,33.14420485175202,28.926330150068214,10.174428139378506,8.420475129380367,0.07885791978246091,0.09177430319510536,0.0849762066621346,0.07817811012916383,0.08225696804894629,0.07817811012916383,0.09449354180829368,0.1026512576478586,0.08293677770224338,0.10944935418082936,0.061182868796736914,0.055064581917063225,48445,27.90419272929956,24.855352793030843,11.125797421255195,9.791595493777269,0.08494168644854991,0.08353803282072453,0.08558158736711735,0.08188667561151822,0.08267107028589121,0.07548766642584374,0.07819176385591908,0.08025596036742698,0.0760243575188358,0.09447827433171638,0.09530395293631953,0.08163897203013727,0.030364330684281144,0.0,0.0
Retalhuleu,1568,34.15579227696405,30.27931488801054,10.111298782622354,8.404577315167318,0.0899234693877551,0.09821428571428571,0.0899234693877551,0.0778061224489796,0.08035714285714286,0.11096938775510204,0.08418367346938775,0.0784438775510204,0.08673469387755102,0.08928571428571429,0.06887755102040816,0.04528061224489796,19017,29.313272660318795,26.284864751078835,12.139415008306084,10.89238358497458,0.08061208392490929,0.08934111584371877,0.09244360309197035,0.08034916127675237,0.07587947625808487,0.06883314928747962,0.08497659988431404,0.08134826733974865,0.06336435820581585,0.07330283430614713,0.09575642845874743,0.11379292212231161,0.08245254246200767,0.0,0.0
Sacatepéquez,1205,35.74038461538461,33.12571428571429,9.94299280019909,8.604732283244093,0.08796680497925312,0.0995850622406639,0.0912863070539419,0.08132780082987552,0.08962655601659751,0.09294605809128631,0.09045643153526971,0.08381742738589211,0.08298755186721991,0.0979253112033195,0.05062240663900415,0.051452282157676346,19447,28.144047312933917,26.005605554127026,9.520831985330148,8.401144077815898,0.08083509024528204,0.08808556589705353,0.08366328996760426,0.08659433331619273,0.07163058569445159,0.06134622306782537,0.06931660410346069,0.08294338458374043,0.06648840438113848,0.08304622821000668,0.11271661438782331,0.11333367614542089,0.061963284825422946,0.0,0.0
San Marcos,2049,35.65727699530517,32.24656278643447,10.494444739852868,9.295982885513045,0.06637384089799903,0.08979990239141045,0.08882381649585164,0.060029282576866766,0.09224011713030747,0.09028794533918985,0.09126403123474866,0.09907271839921913,0.0951683748169839,0.1059053196681308,0.06051732552464617,0.06051732552464617,49699,30.056583264558466,27.158583479293753,12.674972847351283,11.46809356786074,0.08143020986337754,0.09026338558119881,0.09700396386245196,0.08475019618100968,0.07165134107326103,0.069900802833055,0.0756353246544196,0.08495140747298738,0.06567536570152317,0.07718465160264794,0.09173222801263607,0.10982112316143182,0.04122819372623192,0.0,0.0
Santa Rosa,1466,35.94668587896253,32.40197461212976,10.374587902072916,9.72361250581266,0.07435197817189632,0.07503410641200546,0.10368349249658936,0.0688949522510232,0.07776261937244201,0.09208731241473397,0.07435197817189632,0.08799454297407913,0.08867667121418826,0.10914051841746249,0.08731241473396999,0.06070941336971351,17760,31.284048665089557,27.653538426864998,12.405707087106965,10.996289676290168,0.08637387387387388,0.09403153153153153,0.0929617117117117,0.07612612612612613,0.06886261261261262,0.06221846846846847,0.07027027027027027,0.07747747747747748,0.056193693693693696,0.07567567567567568,0.10771396396396396,0.1320945945945946,0.08254504504504505,0.0,0.0
Sololá,621,33.22727272727273,30.19060773480663,9.349774618582277,9.126663027798667,0.07246376811594203,0.10466988727858294,0.0853462157809984,0.05958132045088567,0.09339774557165861,0.09500805152979067,0.0853462157809984,0.08051529790660225,0.06602254428341385,0.10466988727858294,0.07729468599033816,0.07568438003220612,20061,28.063163667181815,25.64152166325971,10.133880379213949,9.216408677407726,0.08738348038482628,0.08558895369124171,0.0847913862718708,0.07492148945715567,0.07786251931608594,0.07452270574747022,0.08374457903394647,0.07875978266287822,0.06729475100942127,0.08374457903394647,0.1068740341957031,0.09451173919545386,0.03095558546433378,0.0,0.0
Suchitepéquez,1762,34.75935828877005,30.914323962516733,10.746979557114745,9.27004145318138,0.06980703745743473,0.09364358683314415,0.10158910329171396,0.07775255391600454,0.08286038592508513,0.07945516458569807,0.08626560726447219,0.09137343927355278,0.10556186152099886,0.10102156640181612,0.06526674233825198,0.04540295119182747,33993,27.990865157944366,25.20920637727286,10.85885600516673,9.702047487451917,0.07427999882328715,0.08069308387020857,0.08813579266319536,0.07407407407407407,0.07945753537493014,0.07501544435619098,0.08516459271026387,0.08475274321183773,0.07327979289853793,0.08657664813343924,0.0932839113935222,0.10528638249051275,0.05183420115906216,0.0,0.0
Totonicapán,917,31.284140969162994,28.68640350877193,9.066147135036116,8.738717146497713,0.0697928026172301,0.09378407851690294,0.09051254089422028,0.0806979280261723,0.0861504907306434,0.07088331515812432,0.08505997818974918,0.08505997818974918,0.08505997818974918,0.12104689203925845,0.06652126499454744,0.06543075245365322,26393,26.59924965893588,24.14614364222096,10.228282788087599,8.765565878374138,0.1010116318720873,0.09210775584435267,0.09006175879968173,0.08665176372523017,0.08021066191793279,0.07342856060319024,0.07611866782859092,0.08388587883150836,0.06683590345925056,0.08767476224756564,0.09260031068844012,0.06941234418216952,0.03474406092524533,0.0,0.0
Zacapa,1512,35.38360175695461,30.707207207207208,10.422841509468158,8.951994393270752,0.06547619047619048,0.08002645502645503,0.10582010582010581,0.06944444444444445,0.09722222222222222,0.0787037037037037,0.09259259259259259,0.08862433862433862,0.07473544973544974,0.09193121693121693,0.08862433862433862,0.0667989417989418,11919,31.981537428667338,27.982039446076374,12.337946400406151,10.893875717816586,0.08079536873898817,0.09010823055625472,0.08733954190787818,0.0737477976340297,0.07894957630673714,0.072992700729927,0.07685208490645189,0.07953687389881701,0.06309254132058059,0.07483849316217804,0.09757529994127025,0.12417149089688732,0.12685627988925247,0.0,0.0
