DEPREG_LIMPIO,total_matrimonios,edad_hom_media,edad_muj_media,edad_hom_std,edad_muj_std,prop_mes_1,prop_mes_2,prop_mes_3,prop_mes_4,prop_mes_5,prop_mes_6,prop_mes_7,prop_mes_8,prop_mes_9,prop_mes_10,prop_mes_11,prop_mes_12
Alta Verapaz,52734,28.142513039355144,24.485290491455018,10.028015491667714,8.763154909487836,0.08595972238024804,0.09373459248302803,0.09107975878939584,0.07156673114119923,0.06551750293928016,0.05760989115181856,0.06532787196116357,0.07128228467402435,0.06786892706792581,0.09747032275192476,0.11064967573102742,0.12193271892896423
Baja Verapaz,13953,27.596344086021507,24.32358213235821,10.724838138493327,9.41280709785335,0.0857880025800903,0.0844262882534222,0.08958646885974342,0.07998279939797893,0.0736042428151652,0.06844406220884397,0.07410592704077976,0.08449795742851,0.06149215222532789,0.08191786712534939,0.09625170214290833,0.1199025299218806
Chimaltenango,38338,26.52028596028909,24.25549235505923,8.903786217596352,7.695150952149467,0.08412019406333142,0.0895977880953623,0.0878501747613334,0.08850226928895613,0.07762533256820908,0.06828733893265168,0.07149564400855549,0.07900777296676927,0.06494861495122332,0.08179873754499452,0.10451771088737023,0.10224842193124316
Chiquimula,16418,29.699061662198392,26.190203484830022,11.177046589138275,9.620566656476704,0.0869167986356438,0.09593129492020952,0.09824582775003045,0.08807406505055428,0.07242051406992325,0.06431964916555001,0.06541600682178098,0.07242051406992325,0.05786332074552321,0.0711414301376538,0.10561578755024972,0.12163479108295773
El Progreso,8476,31.374365632007553,27.559188008969667,12.041293212734347,10.404068305280036,0.07987258140632374,0.09414818310523831,0.0886031146767343,0.07031618688060406,0.0736196319018405,0.06677678150070789,0.07692307692307693,0.07645115620575743,0.07904672015101463,0.08034450212364323,0.09874941009910335,0.11514865502595564
Escuintla,36675,31.301401614310645,27.9265066812108,12.7310685770458,11.409325371490722,0.06628493524199046,0.08098159509202454,0.08313565098841172,0.0747375596455351,0.08188139059304704,0.08204498977505112,0.08790729379686435,0.08954328561690525,0.06718473074301295,0.07577368779822767,0.08433537832310839,0.1261895023858214
Guatemala,156705,30.42747273087012,27.906806650285606,10.886449048561424,9.583246458790388,0.06461185029194984,0.08316901183752912,0.0885102581283303,0.07806387798730098,0.07092945343160716,0.06660285249353881,0.07875945247439456,0.08068664050285568,0.06830669091605246,0.08410708018250854,0.1152292524169618,0.12102357933697074
Huehuetenango,55915,29.37631465979824,26.261961401563255,12.185513194782224,10.786926801503954,0.08001430743092193,0.08176696771885898,0.09056603773584905,0.08811589019046767,0.07947777877134937,0.07103639452740768,0.0752392023607261,0.08629169274792095,0.07321827774300277,0.08409192524367343,0.09709380309398194,0.09308772243584011
Izabal,17143,32.437937879495564,28.357247095908004,12.554360173279251,10.86110808673535,0.059616169865251124,0.07344105465787786,0.08714927375605204,0.07670769410254914,0.07764101965816951,0.07104940792160065,0.08073266056116199,0.08341597153357055,0.06807443271306073,0.08154932042232982,0.10354080382663478,0.13708219098174182
Jalapa,14874,29.842848497074844,26.559701492537314,10.748759290744223,9.027019978805232,0.08437542019631572,0.10864595939222806,0.10629286002420331,0.09257765227914481,0.07946752722872126,0.06165120344224822,0.0646093855049079,0.07382008874546188,0.06017211241091838,0.07630765093451661,0.0927793465106898,0.09930079333064408
Jutiapa,24292,30.92592439749092,26.866195728508284,11.85890256239851,10.23344312410039,0.08685987156265437,0.0928289148690927,0.09385806026675449,0.08064383336077721,0.07854437674954717,0.06648279268895109,0.0694878972501235,0.07084636917503705,0.06113123662110983,0.08764202206487733,0.09916845051868928,0.11250617487238597
Petén,23385,30.884287975360397,26.558326560294308,11.940342665996088,10.241285509646865,0.06363053239255934,0.08214667521915758,0.08920248022236477,0.08531109685695959,0.08655120803934147,0.07295274748770579,0.07338037203335472,0.0793243532178747,0.07166987385075903,0.08240324994654694,0.09612999786187727,0.11729741287149882
Quetzaltenango,46622,28.200158839186056,25.668748256400352,10.9282041021008,9.739938718618973,0.08169962678563768,0.08807000986658658,0.08933550684226331,0.07994080048045987,0.07003131568787267,0.06762901634421518,0.08047702801252628,0.08146368667152847,0.06724293252112737,0.08232165072283472,0.10104671614259363,0.11074170992235426
Quiché,48445,27.90419272929956,24.855352793030843,11.125797421255195,9.791595493777269,0.08494168644854991,0.08353803282072453,0.08558158736711735,0.08188667561151822,0.08267107028589121,0.07548766642584374,0.07819176385591908,0.08025596036742698,0.0760243575188358,0.09447827433171638,0.09530395293631953,0.08163897203013727
Retalhuleu,19017,29.313272660318795,26.284864751078835,12.139415008306084,10.89238358497458,0.08061208392490929,0.08934111584371877,0.09244360309197035,0.08034916127675237,0.07587947625808487,0.06883314928747962,0.08497659988431404,0.08134826733974865,0.06336435820581585,0.07330283430614713,0.09575642845874743,0.11379292212231161
Sacatepéquez,19447,28.144047312933917,26.005605554127026,9.520831985330148,8.401144077815898,0.08083509024528204,0.08808556589705353,0.08366328996760426,0.08659433331619273,0.07163058569445159,0.06134622306782537,0.06931660410346069,0.08294338458374043,0.06648840438113848,0.08304622821000668,0.11271661438782331,0.11333367614542089
San Marcos,49699,30.056583264558466,27.158583479293753,12.674972847351283,11.46809356786074,0.08143020986337754,0.09026338558119881,0.09700396386245196,0.08475019618100968,0.07165134107326103,0.069900802833055,0.0756353246544196,0.08495140747298738,0.06567536570152317,0.07718465160264794,0.09173222801263607,0.10982112316143182
Santa Rosa,17760,31.284048665089557,27.653538426864998,12.405707087106965,10.996289676290168,0.08637387387387388,0.09403153153153153,0.0929617117117117,0.07612612612612613,0.06886261261261262,0.06221846846846847,0.07027027027027027,0.07747747747747748,0.056193693693693696,0.07567567567567568,0.10771396396396396,0.1320945945945946
Sololá,20061,28.063163667181815,25.64152166325971,10.133880379213949,9.216408677407726,0.08738348038482628,0.08558895369124171,0.0847913862718708,0.07492148945715567,0.07786251931608594,0.07452270574747022,0.08374457903394647,0.07875978266287822,0.06729475100942127,0.08374457903394647,0.1068740341957031,0.09451173919545386
Suchitepéquez,33993,27.990865157944366,25.20920637727286,10.85885600516673,9.702047487451917,0.07427999882328715,0.08069308387020857,0.08813579266319536,0.07407407407407407,0.07945753537493014,0.07501544435619098,0.08516459271026387,0.08475274321183773,0.07327979289853793,0.08657664813343924,0.0932839113935222,0.10528638249051275
Totonicapán,26393,26.59924965893588,24.14614364222096,10.228282788087599,8.765565878374138,0.1010116318720873,0.09210775584435267,0.09006175879968173,0.08665176372523017,0.08021066191793279,0.07342856060319024,0.07611866782859092,0.08388587883150836,0.06683590345925056,0.08767476224756564,0.09260031068844012,0.06941234418216952
Zacapa,11919,31.981537428667338,27.982039446076374,12.337946400406151,10.893875717816586,0.08079536873898817,0.09010823055625472,0.08733954190787818,0.0737477976340297,0.07894957630673714,0.072992700729927,0.07685208490645189,0.07953687389881701,0.06309254132058059,0.07483849316217804,0.09757529994127025,0.12417149089688732
